trade_date,code,name,profit_ratio,profit_ratio_ema_short,profit_ratio_ema_long,asr,dense_zones,shares_today,atr_10,cold_start_used,state_path,vpin_raw,vpin_filtered,vpin_max,delta_vpin,ofi_daily,ofi_20,ofi_60,ofi_240,ofi_skew,ofi_95th,ofi_price_divergence,ofi_am_sum,ofi_pm_sum,ofi_pos_ratio,queue_pressure,kyle_lambda,rv_bipower,jump_ratio,vwap_dev,volume_surprise,bvc_quality,n_buckets_actual,bucket_size,vpin_orthogonalized,vpin_rank,vpin_max_rank,delta_vpin_z,ofi_daily_z,ofi_240_z,ofi_skew_z,ofi_95th_z,kyle_lambda_z,rv_bipower_z,vwap_dev_z,vs_z,vs_max_logz,ms_snapshot_has_l1,ms_ofi_available,ms_n_buckets_actual
20250507,159206.SZ,卫星ETF,57.331506264500455,56.355,55.8304,0.10793650684729515,"[{'price': 0.873, 'density': 0.016113042838306023, 'type': 'support'}, {'price': 0.9930000000000001, 'density': 0.008314323455720975, 'type': 'resistance'}, {'price': 0.913, 'density': 0.0043255519356817365, 'type': 'support'}, {'price': 0.9359999999999999, 'density': 0.003123068317012246, 'type': 'resistance'}]",372628480.0,0.015300000000000013,False,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159206_SZ_20250507.npz,0.35087215892386897,0.35087215892386897,0.4002600061322498,0.0,20439103.0,149500.0,2940400.0,5681600.0,1.6994107460778731,1088109.9999999993,0.0,11782503.0,8656600.0,0.5038363171355499,-20000.0,1.213991033876732e-09,8.423111493567239e-05,0.7308347410429159,0.0024986611540161827,0.10508782750100648,0.3769500159184973,55.0,335457.09470588237,-0.0020902019751233847,0.7627118644067796,0.6949152542372882,0.0,-0.41187896467969237,0.5165211059976414,0.23226686038987512,-0.7924505307735974,3.0,-3.0,0.1928921825067705,-1.2270620979670546,-1.2270620979670546,True,True,55
20250507,159363.SZ,创业板人工智能ETF华宝,45.17818704856399,45.1121,44.9804,0.09964301909437115,"[{'price': 0.879, 'density': 0.007995401233139477, 'type': 'support'}, {'price': 1.081, 'density': 0.0036167974758696793, 'type': 'resistance'}, {'price': 0.9890000000000001, 'density': 0.003016648872504249, 'type': 'resistance'}, {'price': 0.937, 'density': 0.002711861922031992, 'type': 'resistance'}, {'price': 0.8089999999999999, 'density': 0.0016059003702083923, 'type': 'support'}]",3276354000.0,0.027100000000000003,False,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159363_SZ_20250507.npz,0.264991855008238,0.264991855008238,0.264991855008238,0.0,-158465104.0,0.0,-3820000.0,3708200.0,-0.026102115686893954,3358500.0,0.0,-157239004.0,-1226100.0,0.5541547277936962,-426100.0,6.62575042828987e-11,0.00047815424774727496,0.5391572020003421,-0.00634981455260496,0.047945434442551005,0.7541313086199196,52.0,3122974.098,0.04857819928858101,0.9090909090909091,0.9454545454545454,1.6446181059278622,-0.02687507517609752,0.023370762176723636,1.5435679777988522,-0.5253518664734035,-3.0,-2.2487032332422676,-0.6713769322014419,0.864552697948594,0.864552697948594,True,True,52
20250507,159566.SZ,储能电池ETF,33.1701154166064,33.0105,33.0629,0.053352514009739116,"[{'price': 1.413, 'density': 0.006070764079873886, 'type': 'resistance'}, {'price': 1.218, 'density': 0.005072645007044018, 'type': 'support'}, {'price': 1.252, 'density': 0.0015658125074094822, 'type': 'support'}, {'price': 1.133, 'density': 0.0012866109072032007, 'type': 'support'}]",49128000.0,0.023099999999999964,False,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159566_SZ_20250507.npz,,,,0.0,-5394500.0,20400.0,289600.0,2410400.0,-0.030002178547755484,112200.0,0.384957733798966,-5619100.0,224600.0,0.4661764705882353,-20000.0,1.9326760078554843e-08,5.533515645362407e-05,0.7462214454079055,-0.005298565081890787,-0.7250103202772982,0.5215805471124619,24.0,101437.15633333333,,,,-1.7906168264373283,-0.08003870380624646,0.6520251126498151,-0.014062305278746672,-1.2205315443692815,3.0,-2.1586547935386746,-1.2206976694488065,-2.121970313513201,-2.121970313513201,True,True,24
20250507,159638.SZ,高端装备ETF,61.102499644703215,61.573,60.5367,0.28026548788258715,"[{'price': 0.7510000000000001, 'density': 0.01235007343183631, 'type': 'support'}, {'price': 0.7609999999999999, 'density': 0.012339675627816057, 'type': 'support'}, {'price': 0.8089999999999999, 'density': 0.006160073266721001, 'type': 'resistance'}, {'price': 0.71, 'density': 0.0018731365395441093, 'type': 'support'}]",3408762000.0,0.013500000000000012,False,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159638_SZ_20250507.npz,0.44544764054304264,0.44544764054304264,0.44544764054304264,0.18510069850827404,238695110.0,0.0,3908100.0,8466500.0,0.08376169500502648,2186000.0,0.0,257073700.0,-18378590.0,0.4919464919464919,-238500.0,9.49083049019474e-11,0.0004415515326810914,0.6330257192339366,0.004755228120667893,0.8582598064072882,0.7162801170907453,117.0,1444971.169,0.07903879264445951,0.8958333333333334,0.8958333333333334,3.0,0.527093266333949,0.9787508818598619,-0.7079716491371347,0.8251570136313139,-3.0,0.4687114082634347,0.3190811551847921,1.7563214836308743,1.7563214836308743,True,True,117
20250507,159667.SZ,工业母机ETF,62.1457715156804,61.9976,60.9085,0.1785891477619431,"[{'price': 1.057, 'density': 0.007611514578033769, 'type': 'support'}, {'price': 1.029, 'density': 0.005936411444176184, 'type': 'support'}, {'price': 1.1179999999999999, 'density': 0.0054512792774350245, 'type': 'support'}, {'price': 1.171, 'density': 0.004072847525213809, 'type': 'resistance'}]",1547430000.0,0.0242,False,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159667_SZ_20250507.npz,0.4040634307430831,0.4040634307430831,0.4125153614408166,0.0,25244000.0,0.0,1916400.0,2639900.0,6.016169564050587,523959.9999999999,0.0,19626700.0,5617300.0,0.5046692607003891,0.0,4.86944218951866e-10,0.00012692031005762114,0.6682719685602843,0.0006644427798586383,0.5054334591468548,0.6258259911894273,82.0,933477.9203333333,0.029844989150980605,0.7962962962962963,0.9259259259259259,0.5655639369066149,-0.2524662820738741,0.3523743671020432,3.0,0.3717599171234156,-3.0,-0.6400407755915766,-0.2762683520085986,1.1857708124492512,1.1857708124492512,True,True,82
20250507,159732.SZ,消费电子ETF,38.34098351496733,38.6301,38.4184,0.11010405954159078,"[{'price': 0.752, 'density': 0.00879240082319322, 'type': 'support'}, {'price': 0.883, 'density': 0.006968986293818784, 'type': 'resistance'}, {'price': 0.785, 'density': 0.004461750751481623, 'type': 'resistance'}, {'price': 0.7000000000000001, 'density': 0.001961252469874435, 'type': 'support'}]",4210924000.0,0.015300000000000013,False,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159732_SZ_20250507.npz,0.3052328510561887,0.3052328510561887,0.3052328510561887,0.0,-133832700.0,0.0,2312800.0,7741000.0,-0.5570402370540962,4424600.0,0.0,-135538000.0,1705300.0,0.5314242270653826,0.0,7.027409695111051e-11,0.0007303735475350521,0.5530473953230239,-0.007568706081331735,-0.03178608475596758,0.785231877532643,48.0,4346922.771000001,0.06645162159212425,0.9487179487179487,0.8974358974358975,0.0,-1.5513888394804547,0.28535480093176474,-1.4564675810510728,0.6752859245323395,-3.0,1.3623200680669172,-1.1447042101973306,0.7335842924446943,0.7335842924446943,True,True,48
20250507,159755.SZ,电池ETF,35.285980064009365,35.2647,34.7544,0.1234877640517181,"[{'price': 0.728, 'density': 0.011421928587933294, 'type': 'resistance'}, {'price': 0.648, 'density': 0.007389339036746395, 'type': 'support'}, {'price': 0.602, 'density': 0.003083075614975666, 'type': 'support'}]",2130248000.0,0.01230000000000001,False,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159755_SZ_20250507.npz,,,,0.0,-158129600.0,119000.0,-1932800.0,4550500.0,-2.3488941822755174,3327639.9999999553,0.0,-130564900.0,-27564700.0,0.4974259974259974,-39900.0,1.7397842897200735e-10,0.0008797755775983016,0.46022568649346385,-0.0035376430049350997,-0.7279669338501779,0.7137086594294371,24.0,4411458.4043333335,,,,0.0,-0.42231116406417646,0.024083660208837607,-3.0,-2.6145915457607143,3.0,-0.6929980746391072,-0.7485794163824497,-1.0282962619095646,-1.0282962619095646,True,True,24
20250507,159811.SZ,5G50ETF,32.204376466619216,31.197,32.2027,0.11690188876963943,"[{'price': 1.133, 'density': 0.0057352410905130435, 'type': 'support'}, {'price': 1.263, 'density': 0.004234157870508438, 'type': 'resistance'}, {'price': 1.31, 'density': 0.004149625330229024, 'type': 'resistance'}, {'price': 1.181, 'density': 0.0031767701404333917, 'type': 'resistance'}, {'price': 1.058, 'density': 0.000697778205216005, 'type': 'support'}]",41792000.0,0.026499999999999968,False,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159811_SZ_20250507.npz,0.21226408680010442,0.21226408680010442,0.21226408680010442,0.0,-31593000.0,-4283000.0,-3188300.0,1096900.0,-0.14159086328555237,891000.0,0.3694079816891256,-39290400.0,7697400.0,0.47558528428093644,-10000.0,-3.701708031155504e-10,,,-0.0013053722534539162,-0.4471272090582409,0.24112426035502954,31.0,65354.882000000005,0.21226408680010442,0.9545454545454546,0.022727272727272728,0.0,-1.1146007748102968,0.13651919295871776,-1.8833334158223989,-1.6920481653152792,,,-0.3272972708111865,-0.2950476103350301,-0.2950476103350301,True,True,31
20250507,159825.SZ,农业ETF,55.8202123022914,53.8192,52.9833,0.37333727680570655,"[{'price': 0.6880000000000001, 'density': 0.022182298971285663, 'type': 'support'}]",2359902260.0,0.007899999999999952,False,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159825_SZ_20250507.npz,0.24458581070920507,0.24458581070920507,0.24458581070920507,0.003579504374294079,-688413.0,1279100.0,964800.0,1309600.0,0.20489839688931696,2243239.999999999,0.0,-57967013.0,57278600.0,0.5436145952109465,0.0,2.0573534779176168e-10,0.00041483257835033465,0.664090910434108,0.002482538838353922,-0.3900153540850572,0.6699709864603481,33.0,3485583.8310000002,-0.014875937610331041,0.46296296296296297,0.05555555555555555,1.6049379763560807,-0.6563292023987393,0.0005852178469267369,-0.171635345979986,0.4497084244967951,3.0,-0.08966193630171292,0.29370111447758834,-0.7799911907979631,-0.7799911907979631,True,True,33
20250507,159852.SZ,软件ETF,43.505757600540925,43.3404,43.1207,0.19845772486767144,"[{'price': 0.773, 'density': 0.010619880659850912, 'type': 'support'}, {'price': 0.8210000000000001, 'density': 0.0068133210651155195, 'type': 'resistance'}, {'price': 0.917, 'density': 0.00494096652354275, 'type': 'resistance'}, {'price': 0.7330000000000001, 'density': 0.001382552286614059, 'type': 'support'}]",7155768000.0,0.020799999999999996,False,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159852_SZ_20250507.npz,0.3219435968507868,0.3219435968507868,0.32254103818738206,0.0,-240269000.0,0.0,179300.0,4508700.0,-1.3127315438399856,3215859.999999991,0.0,-181570300.0,-58698700.0,0.5124848484848484,-821300.0,1.6033865603357504e-11,0.0009425059646431732,0.4964174171902943,-0.008823726119239806,0.11328946572500329,0.8699222126188418,55.0,6389329.153333333,0.059144554452522646,0.9166666666666666,0.7708333333333334,0.0,-0.7889106858004102,-0.05416790876775756,-2.25751412427203,-0.5167923041081974,-3.0,-1.2192695896368109,-0.8832456222834182,0.2502256053420483,0.2502256053420483,True,True,55
20250507,159859.SZ,生物医药ETF,33.51434424001951,32.616,32.5482,0.3769236015552675,"[{'price': 0.34199999999999997, 'density': 0.029614595797320908, 'type': 'support'}, {'price': 0.369, 'density': 0.019197187502837654, 'type': 'resistance'}]",7912282000.0,0.005099999999999982,False,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159859_SZ_20250507.npz,0.37099065304889606,0.37099065304889606,0.39225054776721585,0.041740916929010274,-237218200.0,0.0,2694300.0,7119400.0,-3.772919346269325,1809189.999999998,0.0,-202500900.0,-34717300.0,0.6255555555555555,0.0,6.72620173741385e-12,0.0012323540711877165,0.6705825188751398,-0.0035546814837655715,0.2886789506322951,0.5724862670169573,66.0,5928298.761666667,0.022536812095835246,0.5769230769230769,0.8653846153846154,0.7488341488769151,-1.1345280970070393,0.5080335229005266,-3.0,-2.095155534801033,-3.0,0.16655852555771583,-0.6449647652571959,0.7887103986396623,0.7887103986396623,True,True,66
20250507,159865.SZ,养殖ETF,57.36110074344018,55.3816,54.4738,0.35568086500503837,"[{'price': 0.589, 'density': 0.02117174969826634, 'type': 'resistance'}]",2038110220.0,0.008000000000000007,False,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159865_SZ_20250507.npz,,,,0.0,-32644500.0,404900.0,2666300.0,9019500.0,-0.18288304742477587,2605389.9999999986,0.0,-51705400.0,19060900.0,0.5302138208862721,-350000.0,1.7278997899389316e-10,0.0003363435025673121,0.7227246346596503,0.001685668471072946,-0.5990043230114619,0.5914618369987064,27.0,3709983.164666666,,,,0.19638059080792264,-0.49785478935151584,0.5558357644690223,-0.8265503021521571,-1.0921752379041678,3.0,-1.254075281415895,0.445470635739902,-0.5682641845783734,-0.5682641845783734,True,True,27
