trade_date,code,profit_ratio,asr,dense_zones,vpin_raw,vpin_filtered,vpin_max,delta_vpin,ofi_daily,ofi_20,ofi_60,ofi_240,ofi_skew,ofi_95th,ofi_price_divergence,ofi_am_sum,ofi_pm_sum,ofi_pos_ratio,queue_pressure,kyle_lambda,rv_bipower,jump_ratio,vwap_dev,volume_surprise,bvc_quality,n_buckets_actual,bucket_size,vpin_orthogonalized,vpin_rank,vpin_max_rank,delta_vpin_z,ofi_daily_z,ofi_240_z,ofi_skew_z,ofi_95th_z,kyle_lambda_z,rv_bipower_z,vwap_dev_z,vs_z,vs_max_logz,ms_snapshot_has_l1,ms_ofi_available,ms_n_buckets_actual,premium_vpin_cross,profit_ofi_divergence,asr_velocity_1d,asr_velocity_5d,state_path,vpin_rank_xs,delta_vpin_z_xs,ofi_skew_z_xs,kyle_lambda_z_xs,rv_bipower_z_xs,vwap_dev_z_xs
20260324,159003.SZ,43.71632581100141,0.960730488951575,"[{'price': 100.0, 'density': 0.0779634972931552, 'type': 'resistance'}]",,,,0.0,660.0,-18.0,-43.0,-40.0,2.2022033037693243,120.0,0.0,584.0,76.0,0.45901639344262296,-1.0,1.593953833134578e-08,,,-1.625849521861471e-05,-0.7790135495346289,0.5211640211640212,22.0,6337.466666666666,,,,0.0,0.7027910710630257,-0.5995473417569736,2.0095681186837533,0.005916585609443906,3.0,,-0.20233785235638643,-1.1626498573333088,-1.1626498573333088,True,True,22,,0.0,-0.012248257621153003,,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159003_SZ_20260324.npz,,-0.06707317073170732,0.41056910569105687,0.22595419847328246,,-0.5
20260324,159005.SZ,80.37703626804566,0.9957946768272488,"[{'price': 100.0, 'density': 0.07868494375217823, 'type': 'resistance'}]",,,,0.0,277.0,-3.0,-18.0,-1.0,0.32075107909215406,116.5499999999997,0.0,290.0,-13.0,0.5757575757575758,-27.0,2.187639737966317e-07,,,4.427102932536205e-06,-1.165223854874658,0.4564564564564565,15.0,2462.7,,,,0.0,0.49421212330312736,0.12234948660273123,0.18691188268443934,0.12409872119583122,3.0,,0.0,-2.013336688218297,-2.013336688218297,True,True,15,,0.3002539918737391,,,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159005_SZ_20260324.npz,,-0.06707317073170732,0.08265582655826553,0.22595419847328246,,-0.4986449864498645
20260324,159103.SZ,14.60995345427004,0.1966423500410255,"[{'price': 0.839, 'density': 0.010853249580097469, 'type': 'resistance'}, {'price': 0.768, 'density': 0.008067183014368335, 'type': 'support'}, {'price': 0.899, 'density': 0.007790679021845887, 'type': 'resistance'}, {'price': 0.8009999999999999, 'density': 0.0038692278870214123, 'type': 'resistance'}, {'price': 0.9410000000000001, 'density': 0.0029173364488373865, 'type': 'resistance'}, {'price': 0.996, 'density': 0.0016721830909456285, 'type': 'resistance'}]",,,,0.0,564167.0,7762.0,7349.0,31522.0,0.45414078022304283,7711.69999999999,0.0,232442.0,331725.0,0.5291347851677457,-486.0,2.881148635498625e-09,5.081084675690224e-05,0.8788322465209153,0.011419090677671368,-0.5528098745734369,0.4187045604758758,28.0,253395.03333333333,,,,0.0,0.8724990923566546,0.687312256514437,0.24997000133535038,-3.0,-3.0,-0.028398048038320377,2.205978783048168,0.8012038546481879,0.8012038546481879,True,True,28,,0.0,,,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159103_SZ_20260324.npz,,-0.06707317073170732,0.1097560975609756,-0.32671755725190843,-0.2689655172413793,0.13685636856368566
20260324,159106.SZ,8.840047476927813,0.18757027277024246,"[{'price': 1.058, 'density': 0.022069419644297896, 'type': 'resistance'}, {'price': 0.998, 'density': 0.005278727195391352, 'type': 'support'}, {'price': 1.018, 'density': 0.004584081723764734, 'type': 'resistance'}]",,,,0.0,109886.0,1091.0,2087.0,25592.0,-0.16529182240369228,2518.5,0.0,15761.0,94125.0,0.5496613995485328,-1000.0,1.1893887630706964e-08,,,0.008994916769075892,-1.2397102971124228,0.19592760180995472,14.0,124428.23333333334,,,,,,,,,,,,,,True,True,14,,,,,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159106_SZ_20260324.npz,,,,,,
20260324,159107.SZ,9.040717112876285,0.12052545089970762,"[{'price': 0.924, 'density': 0.008433960540671739, 'type': 'resistance'}, {'price': 0.997, 'density': 0.008162551092859545, 'type': 'resistance'}, {'price': 0.967, 'density': 0.0051930298022223, 'type': 'resistance'}, {'price': 0.851, 'density': 0.004480560198848519, 'type': 'support'}, {'price': 1.077, 'density': 0.0012277217027087412, 'type': 'resistance'}]",0.19852577528073254,0.19852577528073254,0.19852577528073254,2.7755575615628914e-17,466133.0,-21167.0,-2515.0,38177.0,-0.6856163205705609,20000.0,0.0,-72682.0,538815.0,0.5082584758041148,-249.0,8.777523199902912e-10,0.0004553710749318877,0.5312268455106662,0.01121359188436921,-0.491988970047667,0.6305587229190421,30.0,2109605.466666667,0.19852577528073254,0.10526315789473684,0.10526315789473684,0.0,0.6162953146043406,0.21582661565723016,-1.3864191405624346,-0.9174390719126079,3.0,1.7763959355213732,1.8502902805693664,-0.8486964621260265,-0.8486964621260265,True,True,30,0.19852577528073254,0.0,,,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159107_SZ_20260324.npz,-0.20409836065573772,-0.06707317073170732,-0.37669376693766937,0.22595419847328246,0.2637931034482759,-0.08807588075880757
20260324,159108.SZ,7.295390376218881,0.08916733064000791,"[{'price': 1.024, 'density': 0.007480946717004859, 'type': 'resistance'}, {'price': 1.0870000000000002, 'density': 0.007262721087626419, 'type': 'resistance'}, {'price': 1.0, 'density': 0.005404814534350801, 'type': 'resistance'}, {'price': 1.145, 'density': 0.0043702911140458735, 'type': 'resistance'}, {'price': 0.914, 'density': 0.0035458337529773506, 'type': 'support'}, {'price': 0.97, 'density': 0.0019198401248346887, 'type': 'resistance'}]",,,,0.0,21045.0,7.0,3655.0,-15985.0,0.045322612634533924,10000.0,0.0,7565.0,13480.0,0.512863070539419,-1615.0,2.4088116682591267e-09,5.9210240413937866e-05,0.8204458626257207,0.013745608654435982,-1.4391480316899832,0.3321787322480083,11.0,342386.4666666666,,,,0.0,-0.3793144523161042,-0.13913600186055536,-0.3111165990998623,-1.2230692803058663,-3.0,-0.26383641582367995,2.8850316255344897,-1.0354573708846626,-1.0354573708846626,True,True,11,,-0.0,,,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159108_SZ_20260324.npz,,-0.06707317073170732,-0.11246612466124661,-0.32671755725190843,-0.3448275862068966,0.38888888888888884
20260324,159119.SZ,25.613041856195178,0.3320162949452748,"[{'price': 1.1440000000000001, 'density': 0.010331545475047272, 'type': 'resistance'}, {'price': 1.072, 'density': 0.009523654967454434, 'type': 'support'}, {'price': 1.114, 'density': 0.009237605990761818, 'type': 'resistance'}, {'price': 1.098, 'density': 0.00876244530842459, 'type': 'resistance'}, {'price': 1.044, 'density': 0.0027286166653721963, 'type': 'support'}]",0.30928758018695085,0.30928758018695085,0.30928758018695085,5.551115123125783e-17,31964.0,-836.0,9036.0,37220.0,-0.02950439496112655,10000.0,0.0,-19841.0,51805.0,0.477859778597786,0.0,8.77390523091223e-09,1.2300394062338517e-05,0.9295098904536805,0.009374220491321595,-0.06117368198663185,0.38625750500333556,47.0,177807.1,0.30928758018695085,0.5,0.3,2.007629013906986e-15,0.0,1.5586329776264969,-0.036119906333571886,0.0,3.0,-0.7188184181322479,1.949819968628776,-0.13775048979427426,-0.13775048979427426,True,True,47,0.30928758018695085,0.0,,,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159119_SZ_20260324.npz,0.1729508196721311,0.2574525745257452,-0.006775067750677488,0.22595419847328246,-0.4517241379310345,-0.016260162601625994
20260324,159122.SZ,42.84837810696222,0.8425245947175156,"[{'price': 1.037, 'density': 0.01365285896437179, 'type': 'resistance'}, {'price': 1.065, 'density': 0.011231654445895224, 'type': 'resistance'}]",0.30128806863230495,0.30128806863230495,0.3932513741999162,5.551115123125783e-17,591160.0,2348.0,4706.0,27364.0,0.13457604832732203,11993.249999999998,0.6686402086415283,-67740.0,658900.0,0.5117944397641112,-547.0,7.195037750985472e-10,5.9226853106322366e-05,0.928002379230621,0.01198420567325534,0.611820761377169,0.42290330244713714,92.0,92915.36666666665,0.30128806863230495,0.7307692307692307,0.4230769230769231,-0.06335362778882009,0.7465371631446843,1.1274213340675003,0.49049904809660877,3.0,0.0,1.4761570123604761,2.5478793030555966,1.2904217144902095,1.2904217144902095,True,True,92,0.30128806863230495,0.0,,,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159122_SZ_20260324.npz,0.3147540983606557,-0.3794037940379404,0.1842818428184282,-0.1015267175572519,0.18448275862068964,0.2750677506775068
20260324,159123.SZ,61.09230734187201,0.7908151021857396,"[{'price': 1.174, 'density': 0.014552052490894484, 'type': 'support'}]",0.23656761735136006,0.23656761735136006,0.23656761735136006,5.551115123125783e-17,-65546.0,4819.0,4602.0,27628.0,-0.15809936891597776,9825.95,0.5447016835975845,-127470.0,61924.0,0.49603174603174605,-1100.0,8.986739716294682e-09,7.684863167025397e-05,0.9017332035311771,0.02173218429891178,-0.4696222597034864,0.5228708617639626,31.0,389486.63333333336,0.23656761735136006,0.2222222222222222,0.1111111111111111,0.0,-0.4924405023638815,0.7731448984639461,-0.7887607474662895,3.0,3.0,0.0,2.9096869126516585,0.3708843344213058,0.3708843344213058,True,True,31,0.23656761735136006,-0.10924602799612046,,,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159123_SZ_20260324.npz,0.003278688524590123,-0.06707317073170732,-0.27235772357723576,0.22595419847328246,-0.24051724137931035,0.3943089430894309
20260324,159129.SZ,14.466453507315128,0.26700802095708565,"[{'price': 1.25, 'density': 0.007981808271524686, 'type': 'resistance'}, {'price': 1.225, 'density': 0.007836161048947195, 'type': 'resistance'}, {'price': 1.096, 'density': 0.004859817970080298, 'type': 'support'}, {'price': 1.1760000000000002, 'density': 0.003880571886682948, 'type': 'resistance'}]",0.19467696602165444,0.19467696602165444,0.2190522093858897,2.7755575615628914e-17,3007811.0,1330.0,1650.0,96724.0,-0.01542126407654354,37189.0,0.39448839030504895,1791835.0,1215976.0,0.4308536003814974,-645.0,1.7404346138777046e-09,0.0006733401488526262,0.486419616704196,0.012644676499390384,0.3694959802262931,0.8346961325966851,72.0,1410510.5666666667,-0.0867528955057518,0.0,0.0,0.6744907594765952,1.444610616653735,2.188254365197144,-0.7157653329696925,3.0,3.0,3.0,1.1411659403716525,0.6732343715895727,0.6732343715895727,True,True,72,0.19467696602165444,0.0,,,D:\Quantitative_Trading\etf_chip_engine\data\chip_snapshots\159129_SZ_20260324.npz,-0.44754098360655736,0.4762872628726287,-0.2520325203252033,0.22595419847328246,0.44568965517241377,-0.4010840108401084
