time,open,high,low,close,volume,amount,bid1,bid1_vol,ask1,ask1_vol
1770773403000.0,1.119,1.12,1.119,1.12,20778.0,2325549.000000001,0.0,0.0,0.0,0.0
1770773406000.0,1.12,1.12,1.12,1.12,2012.0,225347.0,0.0,0.0,0.0,0.0
1770773409000.0,1.12,1.12,1.12,1.12,69.0,7732.000000001863,0.0,0.0,0.0,0.0
1770773412000.0,1.12,1.12,1.119,1.119,5325.0,596182.9999999981,0.0,0.0,0.0,0.0
1770773415000.0,1.119,1.121,1.119,1.121,3730.0,417427.0,0.0,0.0,0.0,0.0
1770773418000.0,1.121,1.121,1.12,1.12,2545.0,284831.0,0.0,0.0,0.0,0.0
1770773421000.0,1.12,1.12,1.12,1.12,1058.0,118496.0,0.0,0.0,0.0,0.0
1770773424000.0,1.12,1.12,1.12,1.12,1226.0,137308.0,0.0,0.0,0.0,0.0
1770773427000.0,1.12,1.12,1.12,1.12,148.0,16576.0,0.0,0.0,0.0,0.0
1770773430000.0,1.12,1.12,1.12,1.12,250.0,28000.0,0.0,0.0,0.0,0.0
1770773433000.0,1.12,1.12,1.12,1.12,150.0,16797.999999998137,0.0,0.0,0.0,0.0
1770773436000.0,1.12,1.12,1.12,1.12,589.0,65968.00000000186,0.0,0.0,0.0,0.0
1770773439000.0,1.12,1.122,1.12,1.122,4607.0,516858.00000000186,0.0,0.0,0.0,0.0
1770773442000.0,1.122,1.123,1.122,1.123,15824.0,1776682.9999999981,0.0,0.0,0.0,0.0
1770773445000.0,1.123,1.123,1.123,1.123,10883.0,1222161.0,0.0,0.0,0.0,0.0
1770773448000.0,1.123,1.123,1.123,1.123,2074.0,233058.00000000186,0.0,0.0,0.0,0.0
1770773451000.0,1.123,1.123,1.123,1.123,70.0,7860.999999998137,0.0,0.0,0.0,0.0
1770773454000.0,1.123,1.125,1.123,1.125,9423.0,1060068.0,0.0,0.0,0.0,0.0
1770773457000.0,1.125,1.125,1.125,1.125,698.0,78403.00000000186,0.0,0.0,0.0,0.0
1770773460000.0,1.125,1.125,1.125,1.125,270.0,30374.999999998137,0.0,0.0,0.0,0.0
1770773463000.0,1.125,1.125,1.125,1.125,1939.0,218079.0,0.0,0.0,0.0,0.0
1770773466000.0,1.125,1.125,1.125,1.125,315.0,35438.00000000186,0.0,0.0,0.0,0.0
1770773469000.0,1.125,1.125,1.125,1.125,4397.0,494662.0,0.0,0.0,0.0,0.0
1770773472000.0,1.125,1.1260000000000001,1.125,1.1260000000000001,12961.0,1459774.9999999981,0.0,0.0,0.0,0.0
1770773475000.0,1.1260000000000001,1.1280000000000001,1.1260000000000001,1.1280000000000001,189.0,21319.000000003725,0.0,0.0,0.0,0.0
1770773478000.0,1.1280000000000001,1.1280000000000001,1.1280000000000001,1.1280000000000001,141.0,15904.999999996275,0.0,0.0,0.0,0.0
1770773481000.0,1.1280000000000001,1.1280000000000001,1.127,1.127,3921.0,442269.0,0.0,0.0,0.0,0.0
1770773484000.0,1.127,1.127,1.127,1.127,11231.0,1265795.0,0.0,0.0,0.0,0.0
1770773487000.0,1.127,1.127,1.127,1.127,4014.0,452399.0,0.0,0.0,0.0,0.0
1770773490000.0,1.127,1.127,1.1260000000000001,1.1260000000000001,2675.0,301257.0000000037,0.0,0.0,0.0,0.0
1770773493000.0,1.1260000000000001,1.127,1.1260000000000001,1.127,102.0,11494.999999996275,0.0,0.0,0.0,0.0
1770773496000.0,1.127,1.127,1.1260000000000001,1.1260000000000001,10863.0,1223174.0000000037,0.0,0.0,0.0,0.0
1770773499000.0,1.1260000000000001,1.1260000000000001,1.1260000000000001,1.1260000000000001,396.0,44599.999999996275,0.0,0.0,0.0,0.0
1770773502000.0,1.1260000000000001,1.1260000000000001,1.1260000000000001,1.1260000000000001,3736.0,420674.0,0.0,0.0,0.0,0.0
1770773505000.0,1.1260000000000001,1.1260000000000001,1.125,1.125,4010.0,451516.0000000037,0.0,0.0,0.0,0.0
1770773508000.0,1.125,1.1260000000000001,1.125,1.1260000000000001,125.0,14075.0,0.0,0.0,0.0,0.0
1770773511000.0,1.1260000000000001,1.1260000000000001,1.1260000000000001,1.1260000000000001,133.0,14974.999999996275,0.0,0.0,0.0,0.0
1770773514000.0,1.1260000000000001,1.1260000000000001,1.125,1.125,11066.0,1244938.9999999963,0.0,0.0,0.0,0.0
1770773517000.0,1.125,1.1260000000000001,1.125,1.1260000000000001,4035.0,454113.0000000037,0.0,0.0,0.0,0.0
1770773520000.0,1.1260000000000001,1.1260000000000001,1.125,1.125,19260.0,2164867.0000000037,0.0,0.0,0.0,0.0
1770773523000.0,1.125,1.1260000000000001,1.125,1.1260000000000001,6692.0,753113.0,0.0,0.0,0.0,0.0
1770773526000.0,1.1260000000000001,1.127,1.1260000000000001,1.127,12054.0,1358329.9999999963,0.0,0.0,0.0,0.0
1770773529000.0,1.127,1.127,1.125,1.125,29234.0,3290195.0000000037,0.0,0.0,0.0,0.0
1770773532000.0,1.125,1.125,1.125,1.125,2820.0,317249.9999999963,0.0,0.0,0.0,0.0
1770773535000.0,1.125,1.125,1.125,1.125,76.0,8548.999999996275,0.0,0.0,0.0,0.0
1770773538000.0,1.125,1.125,1.125,1.125,1168.0,131401.00000000373,0.0,0.0,0.0,0.0
1770773541000.0,1.125,1.125,1.125,1.125,348.0,39119.0,0.0,0.0,0.0,0.0
1770773544000.0,1.125,1.125,1.124,1.124,460.0,51736.999999996275,0.0,0.0,0.0,0.0
1770773547000.0,1.124,1.125,1.124,1.125,93.0,10463.000000003725,0.0,0.0,0.0,0.0
1770773550000.0,1.125,1.125,1.123,1.123,330.0,37059.0,0.0,0.0,0.0,0.0
1770773553000.0,1.123,1.123,1.123,1.123,583.0,65471.000000003725,0.0,0.0,0.0,0.0
1770773556000.0,1.123,1.123,1.123,1.123,150.0,16854.999999996275,0.0,0.0,0.0,0.0
1770773559000.0,1.123,1.123,1.123,1.123,1123.0,126122.0,0.0,0.0,0.0,0.0
1770773562000.0,1.123,1.123,1.122,1.122,537.0,60271.000000003725,0.0,0.0,0.0,0.0
1770773568000.0,1.122,1.122,1.122,1.122,300.0,33633.0,0.0,0.0,0.0,0.0
1770773571000.0,1.122,1.122,1.122,1.122,1102.0,123543.99999999627,0.0,0.0,0.0,0.0
1770773574000.0,1.122,1.122,1.12,1.12,203.0,22753.0,0.0,0.0,0.0,0.0
1770773577000.0,1.12,1.121,1.12,1.121,6537.0,732789.0,0.0,0.0,0.0,0.0
1770773580000.0,1.121,1.122,1.121,1.122,2598.0,291496.0,0.0,0.0,0.0,0.0
1770773583000.0,1.122,1.122,1.122,1.122,17600.0,1974720.0,0.0,0.0,0.0,0.0
1770773586000.0,1.122,1.122,1.122,1.122,926.0,103898.0,0.0,0.0,0.0,0.0
1770773589000.0,1.122,1.122,1.122,1.122,6510.0,730422.0000000075,0.0,0.0,0.0,0.0
1770773592000.0,1.122,1.122,1.121,1.121,520.0,58341.99999999255,0.0,0.0,0.0,0.0
1770773595000.0,1.121,1.122,1.121,1.122,2172.0,243525.0,0.0,0.0,0.0,0.0
1770773598000.0,1.122,1.122,1.12,1.12,3762.0,421918.99999999255,0.0,0.0,0.0,0.0
1770773601000.0,1.12,1.121,1.12,1.121,46.0,5157.000000014901,0.0,0.0,0.0,0.0
1770773604000.0,1.121,1.121,1.121,1.121,66.0,7398.999999992549,0.0,0.0,0.0,0.0
1770773607000.0,1.121,1.121,1.121,1.121,1935.0,216913.0,0.0,0.0,0.0,0.0
1770773610000.0,1.121,1.121,1.121,1.121,620.0,69502.0,0.0,0.0,0.0,0.0
1770773613000.0,1.121,1.121,1.121,1.121,327.0,36657.0,0.0,0.0,0.0,0.0
1770773616000.0,1.121,1.123,1.121,1.123,13977.0,1568178.0,0.0,0.0,0.0,0.0
1770773619000.0,1.123,1.123,1.122,1.122,2.0,224.0,0.0,0.0,0.0,0.0
1770773622000.0,1.122,1.123,1.122,1.123,17949.0,2015663.0,0.0,0.0,0.0,0.0
1770773625000.0,1.123,1.123,1.123,1.123,1180.0,132504.00000000745,0.0,0.0,0.0,0.0
1770773628000.0,1.123,1.123,1.122,1.122,1190.0,133525.99999999255,0.0,0.0,0.0,0.0
1770773631000.0,1.122,1.122,1.121,1.121,5343.0,598950.0000000075,0.0,0.0,0.0,0.0
1770773634000.0,1.121,1.121,1.121,1.121,735.0,82393.9999999851,0.0,0.0,0.0,0.0
1770773637000.0,1.121,1.121,1.121,1.121,1350.0,151335.00000000745,0.0,0.0,0.0,0.0
