time,open,high,low,close,volume,amount,bid1,bid1_vol,ask1,ask1_vol
1770773404000.0,2.035,2.035,2.035,2.035,5.0,1017.0,0.0,0.0,0.0,0.0
1770773407000.0,2.035,2.035,2.035,2.035,1008.0,205126.99999999988,0.0,0.0,0.0,0.0
1770773410000.0,2.035,2.035,2.035,2.035,1050.0,213676.00000000012,0.0,0.0,0.0,0.0
1770773413000.0,2.035,2.035,2.0340000000000003,2.0340000000000003,72.0,14647.0,0.0,0.0,0.0,0.0
1770773416000.0,2.0340000000000003,2.035,2.0340000000000003,2.035,34.0,6917.0,0.0,0.0,0.0,0.0
1770773419000.0,2.035,2.035,2.035,2.035,728.0,148148.0,0.0,0.0,0.0,0.0
1770773422000.0,2.035,2.036,2.035,2.036,11.0,2239.0,0.0,0.0,0.0,0.0
1770773425000.0,2.036,2.0380000000000003,2.036,2.0380000000000003,722.0,147106.99999999977,0.0,0.0,0.0,0.0
1770773428000.0,2.0380000000000003,2.041,2.0380000000000003,2.041,5049.0,1030195.0000000007,0.0,0.0,0.0,0.0
1770773431000.0,2.041,2.0420000000000003,2.041,2.0420000000000003,117.0,23889.0,0.0,0.0,0.0,0.0
1770773434000.0,2.0420000000000003,2.044,2.0420000000000003,2.044,3081.0,629532.9999999995,0.0,0.0,0.0,0.0
1770773437000.0,2.044,2.045,2.044,2.045,224.0,45808.000000000466,0.0,0.0,0.0,0.0
1770773440000.0,2.045,2.048,2.045,2.048,1009.0,206566.99999999953,0.0,0.0,0.0,0.0
1770773443000.0,2.048,2.048,2.0460000000000003,2.0460000000000003,647.0,132439.0,0.0,0.0,0.0,0.0
1770773446000.0,2.0460000000000003,2.0460000000000003,2.0460000000000003,2.0460000000000003,5140.0,1051652.0,0.0,0.0,0.0,0.0
1770773449000.0,2.0460000000000003,2.0460000000000003,2.0460000000000003,2.0460000000000003,2859.0,585300.0,0.0,0.0,0.0,0.0
1770773452000.0,2.0460000000000003,2.048,2.0460000000000003,2.048,112.0,22938.00000000093,0.0,0.0,0.0,0.0
1770773455000.0,2.048,2.048,2.0460000000000003,2.0460000000000003,54.0,11047.999999999069,0.0,0.0,0.0,0.0
1770773458000.0,2.0460000000000003,2.0460000000000003,2.0460000000000003,2.0460000000000003,294.0,60153.0,0.0,0.0,0.0,0.0
1770773461000.0,2.0460000000000003,2.0460000000000003,2.0460000000000003,2.0460000000000003,5.0,1023.0,0.0,0.0,0.0,0.0
1770773464000.0,2.0460000000000003,2.0460000000000003,2.0460000000000003,2.0460000000000003,8.0,1637.0,0.0,0.0,0.0,0.0
1770773467000.0,2.0460000000000003,2.0460000000000003,2.045,2.045,1614.0,330063.0,0.0,0.0,0.0,0.0
1770773470000.0,2.045,2.045,2.043,2.043,17.0,3475.0,0.0,0.0,0.0,0.0
1770773473000.0,2.043,2.044,2.043,2.044,2.0,409.0,0.0,0.0,0.0,0.0
1770773476000.0,2.044,2.044,2.043,2.043,212.0,43312.0,0.0,0.0,0.0,0.0
1770773479000.0,2.043,2.043,2.0420000000000003,2.0420000000000003,5547.0,1133251.0,0.0,0.0,0.0,0.0
1770773482000.0,2.0420000000000003,2.0420000000000003,2.0420000000000003,2.0420000000000003,617.0,125989.99999999907,0.0,0.0,0.0,0.0
1770773485000.0,2.0420000000000003,2.043,2.0420000000000003,2.043,9.0,1840.0000000009313,0.0,0.0,0.0,0.0
1770773488000.0,2.043,2.045,2.043,2.045,80.0,16360.000000000931,0.0,0.0,0.0,0.0
1770773491000.0,2.045,2.0460000000000003,2.045,2.0460000000000003,169.0,34576.99999999907,0.0,0.0,0.0,0.0
1770773494000.0,2.0460000000000003,2.048,2.0460000000000003,2.048,50.0,10238.999999999069,0.0,0.0,0.0,0.0
1770773497000.0,2.048,2.048,2.047,2.047,2.0,410.0000000009313,0.0,0.0,0.0,0.0
1770773500000.0,2.047,2.05,2.047,2.05,235.0,48175.0,0.0,0.0,0.0,0.0
1770773503000.0,2.05,2.05,2.05,2.05,679.0,139197.0,0.0,0.0,0.0,0.0
1770773506000.0,2.05,2.051,2.05,2.051,81.0,16603.99999999907,0.0,0.0,0.0,0.0
1770773509000.0,2.051,2.052,2.051,2.052,151.0,30986.00000000093,0.0,0.0,0.0,0.0
1770773512000.0,2.052,2.052,2.052,2.052,90.0,18471.0,0.0,0.0,0.0,0.0
1770773515000.0,2.052,2.053,2.052,2.053,1567.0,321705.0,0.0,0.0,0.0,0.0
1770773518000.0,2.053,2.053,2.05,2.05,7004.0,1436396.0000000019,0.0,0.0,0.0,0.0
1770773521000.0,2.05,2.05,2.048,2.048,3688.0,755637.0,0.0,0.0,0.0,0.0
1770773524000.0,2.048,2.048,2.048,2.048,114.0,23346.999999998137,0.0,0.0,0.0,0.0
1770773527000.0,2.048,2.048,2.048,2.048,38.0,7783.0,0.0,0.0,0.0,0.0
1770773530000.0,2.048,2.05,2.048,2.05,3.0,615.0,0.0,0.0,0.0,0.0
1770773536000.0,2.05,2.051,2.05,2.051,3276.0,671897.0,0.0,0.0,0.0,0.0
1770773539000.0,2.051,2.052,2.051,2.052,3293.0,675397.0,0.0,0.0,0.0,0.0
1770773542000.0,2.052,2.053,2.052,2.053,2843.0,583668.0,0.0,0.0,0.0,0.0
1770773545000.0,2.053,2.053,2.052,2.052,139.0,28522.0,0.0,0.0,0.0,0.0
1770773551000.0,2.052,2.053,2.052,2.053,779.0,160065.0,0.0,0.0,0.0,0.0
1770773557000.0,2.053,2.055,2.053,2.055,93.0,19111.0,0.0,0.0,0.0,0.0
1770773560000.0,2.055,2.055,2.055,2.055,136.0,27948.0,0.0,0.0,0.0,0.0
1770773563000.0,2.055,2.055,2.055,2.055,12.0,2466.0,0.0,0.0,0.0,0.0
1770773572000.0,2.055,2.056,2.055,2.056,150.0,30840.0,0.0,0.0,0.0,0.0
1770773575000.0,2.056,2.056,2.056,2.056,59.0,12126.0,0.0,0.0,0.0,0.0
1770773578000.0,2.056,2.056,2.056,2.056,100.0,20559.0,0.0,0.0,0.0,0.0
1770773581000.0,2.056,2.056,2.056,2.056,110.0,22616.000000001863,0.0,0.0,0.0,0.0
1770773587000.0,2.056,2.056,2.056,2.056,110.0,22615.999999998137,0.0,0.0,0.0,0.0
1770773590000.0,2.056,2.056,2.055,2.055,14.0,2877.0,0.0,0.0,0.0,0.0
