code,name,close,score,factor_a,factor_b,factor_c,amount
159309.SZ,油气ETF汇添富,1.4789999999999999,0.9114583333333334,0.09102980230156385,1.042980923307636,0.030869544310103147,139402755.0
516780.SH,稀土ETF,2.0380000000000003,0.890625,0.027528486437430662,1.3573634806133623,0.029253166145735282,128244435.00000001
560280.SH,工程机械ETF,1.896,0.8864583333333333,0.0703096333512093,1.0874936715536472,0.02294384796917599,182096694.0
516150.SH,稀土ETF嘉实,2.107,0.8812500000000001,0.028055623322761923,1.1940751056675498,0.02926857639175381,278482986.99999994
159713.SZ,稀土ETF,1.5190000000000001,0.8718750000000001,0.02843601895734615,1.1543649448254811,0.02886342115410091,81397226.0
561760.SH,油气ETF博时,1.4300000000000002,0.8677083333333333,0.0929379394680527,0.9466403152285674,0.03611909761162357,57080896.00000001
561360.SH,石油ETF,1.537,0.8666666666666667,0.07606679035250458,0.9743201139413296,0.028529108478321373,519221064.0
159242.SZ,创业板人工智能ETF大成,1.915,0.8645833333333335,0.027277847812676052,1.177119439143901,0.027701960068042927,86561008.0
159930.SZ,能源ETF,1.686,0.8385416666666667,0.06523456010108977,0.9611373914730814,0.02551569818581357,125681745.00000001
159363.SZ,创业板人工智能ETF华宝,1.138,0.8239583333333333,0.028979610289796023,1.0182064514054938,0.0284280355619998,949506353.0
520660.SH,港股通央企红利ETF南方,1.09,0.821875,0.0332732960470188,1.1168770996649071,0.01830195637986871,119204221.0
159715.SZ,稀土ETF易方达,1.391,0.8187500000000001,0.027364378300528104,1.025744247566698,0.0289372279592562,122426340.0
159569.SZ,港股红利低波ETF,1.4449999999999998,0.8166666666666668,0.04177931581413788,1.2196801902098104,0.01409017400355279,74303045.0
159667.SZ,工业母机ETF,1.848,0.7916666666666667,0.04492380763902633,0.9713398624143088,0.0212432420684591,167986648.0
513310.SH,中韩半导体ETF,3.851,0.7895833333333334,0.11318273135903094,0.7805481041569493,0.044298968259516396,3934420458.0
