code,name,close,score,factor_a,factor_b,factor_c,amount
516780.SH,稀土ETF,2.056,0.9283018867924528,0.0395388815856003,1.3202058547655764,0.028191850857106765,443981204.0
159713.SZ,稀土ETF,1.5350000000000001,0.9245283018867925,0.042692660394660915,1.174943824341694,0.02787164875763911,146645096.99999997
516150.SH,稀土ETF嘉实,2.128,0.9139622641509435,0.04119776886192389,1.1449893487103528,0.027993664420312266,707633834.0
159242.SZ,创业板人工智能ETF大成,1.9320000000000002,0.9132075471698113,0.041032411024597856,1.1701334296356294,0.02782645043691744,117344648.0
159671.SZ,稀有金属ETF工银,1.533,0.8966037735849057,0.025726807400220868,1.5511132151871274,0.03220927258628172,53860510.0
159246.SZ,创业板人工智能ETF富国,2.1590000000000003,0.8898113207547171,0.040005780486042565,1.0428593978984753,0.02811931345305855,196014775.0
159805.SZ,传媒ETF,1.7209999999999999,0.8747169811320755,0.02727869635289193,1.2272097960074853,0.02746702643194275,202337535.00000003
560280.SH,工程机械ETF,1.878,0.8550943396226416,0.06968928886737104,1.0231900133473868,0.020983496258651573,137413741.0
159363.SZ,创业板人工智能ETF华宝,1.1460000000000001,0.8460377358490566,0.04110833522598229,0.9394056959145973,0.028657097686956227,981248479.0
159869.SZ,游戏ETF,1.635,0.8452830188679247,0.02639756426755386,1.3016321057455504,0.022589730131824082,943699484.0
