code,name,close,score,factor_a,factor_b,factor_c,amount
516620.SH,影视ETF,1.397,0.9841095890410959,0.1720781944794027,2.8873306953027362,0.034616808332848935,801810415.0
159855.SZ,影视ETF,1.245,0.983013698630137,0.17248198898149447,2.8019885718300945,0.03411683300444311,766155512.0
159100.SZ,巴西ETF,1.222,0.9534246575342467,0.0696778711484595,1.3077041521935977,0.03995157477309159,672241810.0
515220.SH,煤炭ETF,1.1440000000000001,0.930958904109589,0.04108841061109343,1.3937105622941333,0.02990803374009764,546594162.0
159864.SZ,光伏ETF国泰,0.733,0.9079452054794521,0.029422091145284615,1.3082998802660453,0.03499015649579153,50783477.0
159812.SZ,黄金ETF前海开源,10.642,0.8947945205479453,0.014373951502211232,1.5752824211690424,0.03971711900758158,53226892.0
159830.SZ,上海金ETF,11.133000000000001,0.8887671232876713,0.01399907097902422,1.6071142394177633,0.039296750990850324,115033921.0
159831.SZ,金ETF嘉实,10.779,0.8843835616438357,0.013497313230751816,1.7015750800420966,0.0394354176467917,76151149.00000001
516880.SH,光伏50ETF,0.9470000000000001,0.8772602739726028,0.030187652977971106,1.1632308509161318,0.031002282955459207,80178020.0
516770.SH,游戏ETF华泰柏瑞,1.7320000000000002,0.8761643835616438,0.04636761818456446,1.2425379366710623,0.02165148030550013,65627477.0
