trade_date,vpin_raw,vpin_filtered,vpin_max,delta_vpin,ofi_daily,ofi_20,ofi_60,ofi_240,ofi_skew,ofi_95th,ofi_price_divergence,ofi_am_sum,ofi_pm_sum,ofi_pos_ratio,queue_pressure,kyle_lambda,rv_bipower,jump_ratio,vwap_dev,volume_surprise,bvc_quality,n_buckets_actual,bucket_size,vpin_orthogonalized
20260204,0.2767784196687582,0.4055828080329489,0.4055828080329489,0.0334218702519725,-26476.0,0.0,-191.0,-12942.0,0.03697518942711,4151.699999999979,0.3420487155215099,-57694.0,31218.0,0.5005694760820045,0.0,-3.262732683006638e-09,0.0001081636261252,0.7977972737225316,0.0042449009670949,-0.2511725658516681,0.3311140701287173,38.0,118248.36666666664,0.2767784196687582
20260205,0.2676022077149664,0.2665809923455618,0.2665809923455618,0.0242456582981807,-136577.0,0.0,0.0,667.0,0.0138099271030396,4672.099999999999,0.2645242794638195,-248343.0,111766.0,0.4852560786342473,0.0,1.3588377557239382e-08,0.001413342911484,0.4973186911751986,0.0030470482798572,-0.3061776980450262,0.3021223470661672,36.0,118040.5,0.2676022077149664
20260206,0.1538121811397781,0.3255053235627269,0.3255053235627269,-0.0895443682770075,2419.0,0.0,1449.0,-12435.0,0.067405945849409,4682.5,0.310862637225835,81321.0,-78902.0,0.4906520747834017,0.0,-4.75770020246022e-10,6.463421976495102e-05,0.9502401706983608,0.0001123795475965,-0.4047479413689318,0.296743338647233,33.0,117968.36666666664,0.1538121811397781
20260209,,,,0.0,-94464.0,0.0,2304.0,1411.0,-0.0986083807089626,4664.0,0.6578678528703372,-51801.0,-42663.0,0.4932920536635707,0.0,2.5278221493053142e-09,2.9975448952189568e-06,0.9767967072727454,0.0045332345069948,-0.6777105471298055,0.2622554407562101,25.0,117897.93333333332,
20260210,,,,0.0,-408155.0,0.0,-60.0,-4039.0,-0.0402420688995488,4677.0,0.3788660394745517,-241321.0,-166834.0,0.4648562300319488,0.0,7.562401152903415e-09,4.145764932463367e-05,0.9999998861231774,-0.0019190605595175,-0.6320317561226002,0.212040725984949,26.0,117389.9,
20260211,0.1547225317965287,0.1547225317965287,0.1547225317965287,-0.0886340176202569,237.0,0.0,6405.0,14580.0,0.1071879748654431,3589.0,0.549154339294875,-21460.0,21697.0,0.4918140144073346,0.0,-2.372611746000251e-09,8.830233917329834e-06,0.999999975756708,-1.2878063942395484e-05,-0.4978699195447221,0.2379191321499013,30.0,117221.43333333332,0.1547225317965287
20260212,,,,0.0,86435.0,0.0,-26.0,15032.0,-0.0629222813799879,4647.75,0.6796080186692175,21820.0,64615.0,0.5112419700214133,0.0,1.1885824676296793e-07,1.2598834522990737e-06,0.9999999965387598,0.0089482514669751,-0.5868787560307298,0.2607638044271466,27.0,116919.0,
20260213,0.0983037506796047,0.257389142781813,0.257389142781813,-0.1450527987371809,144570.0,0.0,0.0,6273.0,-0.435930613344183,1700.0,0.5398437844235621,118083.0,26487.0,0.5363550519357885,0.0,-2.1681984006799558e-10,2.456126004180746e-06,0.999999993259278,-0.0062171508981238,-0.1111312996415429,0.2227129337539432,44.0,116952.96666666666,0.0983037506796047
20260224,0.1450876640724935,0.1701960433555514,0.1701960433555514,-0.0982688853442921,-38192.0,0.0,0.0,2317.0,-0.0603551447327774,1700.0,0.2438705876156794,10675.0,-48867.0,0.5066394279877426,0.0,1.6370711001981414e-08,0.0001141982995749,0.8920685862776161,-0.0014639485114612,-0.3621184059972319,0.2139438085327784,34.0,116713.6,0.1450876640724935
20260225,0.2329620310126101,0.3858999888923488,0.3858999888923488,-0.0103945184041755,41542.0,0.0,0.0,4778.0,-0.105854959011552,1700.0,0.4845658493856703,66017.0,-24475.0,0.5111111111111111,0.0,4.360561976736482e-09,2.88747456611708e-06,0.9868502354780754,0.0038096325242319,-0.2252150764233595,0.2363407996650617,39.0,116363.3,0.2329620310126101
