trade_date,vpin_raw,vpin_filtered,vpin_max,delta_vpin,ofi_daily,ofi_20,ofi_60,ofi_240,ofi_skew,ofi_95th,ofi_price_divergence,ofi_am_sum,ofi_pm_sum,ofi_pos_ratio,queue_pressure,kyle_lambda,rv_bipower,jump_ratio,vwap_dev,volume_surprise,bvc_quality,n_buckets_actual,bucket_size,vpin_orthogonalized
20260204,0.3028767190973262,0.6509828404925575,0.6509828404925575,0.0,-198799.0,0.0,1300.0,-13283.0,-0.1833033310635865,10000.0,0.4151028212299038,-311150.0,112351.0,0.4736842105263157,0.0,7.34097433700932e-10,2.426351953563441e-05,0.9503212069408244,0.0111071429593171,-0.4323633687295113,0.2604120999561595,32.0,31646.9,0.3028767190973262
20260205,0.3862955448270563,0.4132150767730227,0.4260688063366518,0.0,32626.0,0.0,1477.0,-2380.0,-0.0173880004755328,3000.0,0.4450754962519392,-40851.0,73477.0,0.5088383838383839,0.0,2.2047757200582195e-08,,,-0.0022739954313649,0.0382721995252273,0.1433799784714746,51.0,31543.366666666665,0.3862955448270563
20260206,,,,0.0,244377.0,0.0,0.0,-5266.0,0.1788174957744926,2516.9999999999927,0.3933675270648709,222090.0,22287.0,0.5411173885750157,0.0,-1.0477671731290661e-07,,,-0.0001779336400933,-0.5696931985916182,0.1495287958115183,28.0,31189.733333333334,
20260209,0.2317725608735685,0.4708360381131863,0.4708360381131863,0.0,190722.0,0.0,0.0,8233.0,0.5537723461888817,1970.0,0.5346207576635281,213475.0,-22753.0,0.5214105793450882,0.0,2.166035413450859e-08,,,0.004425500289627,-0.1321770593374209,0.198856416772554,43.0,30431.9,0.2317725608735685
20260210,,,,0.0,-17971.0,0.0,1500.0,9882.0,0.3951968606848514,1874.0,0.4712151512707242,-1600.0,-16371.0,0.4900232018561485,0.0,1.801562271682932e-07,,,-0.0045733752711874,-1.095356509968878,0.084524810765349,16.0,29836.7,
20260211,,,,0.0,-77232.0,0.0,481.0,-2542.0,0.0648581956953827,1500.0,0.4414208384396464,-57908.0,-19324.0,0.4898407468423943,0.0,1.4948813711006636e-07,,,-0.0064391914632455,-1.3199945605675227,0.1197669400086318,13.0,29498.0,
20260212,0.0867858598716161,0.0867858598716161,0.1068177116301249,0.0,16720.0,0.0,100.0,-2833.0,0.2606900933079025,2800.0,0.4405419134901981,34774.0,-18054.0,0.5026501766784452,0.0,5.418238887965951e-10,,,0.0014109201103916,0.4489154938880078,0.0978167808219178,78.0,29287.4,0.0867858598716161
20260213,0.6025365739896605,0.7542634293364882,0.78141422130931,0.0,-14767.0,0.0,0.0,3770.0,0.0297060532119853,2800.0,0.4288654700310045,-19518.0,4751.0,0.5132139812446718,0.0,9.587705798554124e-08,,,-0.0058515976214877,0.2098909138439983,0.1096774193548386,61.0,29686.833333333336,0.6025365739896605
20260224,,,,0.0,34478.0,0.0,0.0,-5450.0,-0.1829669641059173,3001.3,0.515084070259713,-116.0,34594.0,0.5152986886838271,0.0,1.63230191349718e-08,,,0.005108598384002,-0.7081167741731914,0.1584551148225469,24.0,30131.7,
20260225,,,,0.0,260394.0,0.0,0.0,54230.0,0.1612258810516612,10000.0,0.4897332186546219,229127.0,31267.0,0.5020695364238411,0.0,-6.469531887580162e-09,,,0.0017498255573056,-1.4376726859058595,0.1243175136497269,11.0,30124.666666666664,
20260226,,,,0.0,274652.0,0.0,0.0,1419.0,0.423715697137917,2800.0,0.3547115773129874,258988.0,15664.0,0.5209050664043285,0.0,-8.85311170995225e-07,,,0.0028393350574682,-1.0205306198632782,0.1720520352496852,18.0,29827.666666666664,
20260227,,,,0.0,363364.0,0.0,51.0,20381.0,0.3800092248507643,3000.0,0.4016457611566164,262138.0,101226.0,0.5169042769857434,0.0,7.131725660401529e-09,,,0.0069569310425983,-1.5590097259379805,0.1240705332483534,10.0,29912.866666666665,
20260302,,,,0.0,1211538.0,0.0,1507.0,4993.0,-0.0169385581406529,10000.0,0.574702185072651,669599.0,541939.0,0.5538376587520707,0.0,4.1085071339571584e-08,2.15751344189278e-05,0.9600066344355092,0.0070902763561923,-0.771525998999621,0.2971032433770735,23.0,29724.833333333336,
20260303,0.2354832036185445,0.8982289554780137,0.8982289554780137,0.0,-189205.0,0.0,0.0,-14409.0,0.0403964886934348,11500.0,0.4708819211970037,73051.0,-262256.0,0.4878491113529198,0.0,7.935710408113855e-08,1.5942877855084005e-05,0.9694214307259283,-0.0212144437146928,-0.1555268725896859,0.2951945080091533,42.0,29594.7,0.2354832036185445
20260304,,,,0.0,61246.0,0.0,0.0,9936.0,-0.0479109600594735,11237.999999999978,0.5725268217540291,51485.0,9761.0,0.5103274559193954,0.0,-7.441230023435019e-09,,,-0.001314831704419,-1.0781305770914444,0.2986554992285651,17.0,29744.5,
20260305,,,,0.0,-241995.0,0.0,0.0,10799.0,-0.0511892354148776,10000.0,0.2669192685843666,-239526.0,-2469.0,0.5039096437880104,0.0,6.904910462938487e-08,,,0.0003478127446248,-0.7517314908360451,0.2100591715976331,23.0,29744.5,
20260306,,,,0.0,434799.0,0.0,-10041.0,30157.0,0.0585270914289887,11400.0,0.4550196643254798,416958.0,17841.0,0.503037205770691,0.0,5.118781124424392e-07,,,0.0084838116661862,-1.2940167159886602,0.1857698961937716,13.0,29595.066666666666,
20260309,,,,0.0,129004.0,0.0,-2800.0,-2720.0,-0.0520015512032726,10000.0,0.3954553054436391,-240930.0,369934.0,0.5012048192771085,0.0,5.031333769556669e-07,,,0.0135419515679325,-1.0967305580015734,0.2765822784810127,16.0,29590.266666666663,
20260310,,,,0.0,-239073.0,0.0,-1500.0,-1330.0,0.1755074782056652,10000.0,0.4748724152933783,-294346.0,55273.0,0.4966990291262136,0.0,2.283340484753794e-10,,,0.0064391746466154,-0.7716636030831021,0.2423585519184912,23.0,29439.033333333336,
20260311,,,,0.0,-163.0,0.0,0.0,-2030.0,0.2425097927079822,2900.0,0.4301993575310701,64715.0,-64878.0,0.4846066134549601,0.0,5.8319985886891225e-09,,,-0.0038277532213031,-1.4928416911684814,0.1677228559357837,11.0,29377.066666666666,
20260312,,,,0.0,24851.0,0.0,-1500.0,7102.0,-0.0306294543220635,10000.0,0.5551800226258659,-99595.0,124446.0,0.4708675010789814,0.0,-1.4866133038628656e-08,,,0.000895644435893,-1.5993566441216207,0.1333620133362013,10.0,29095.2,
20260313,,,,0.0,329172.0,0.0,0.0,18350.0,0.1265958811123148,10000.0,0.3288700715059765,309631.0,19541.0,0.4922680412371134,0.0,3.8864593893711867e-07,,,-0.0025092242585643,-1.4576107122077169,0.1311475409836066,11.0,28695.166666666664,
20260316,,,,0.0,197720.0,0.0,0.0,66072.0,0.022540011229877654,11204.199999999986,0.3383082329963988,58238.0,139482.0,0.516369664318276,0.0,1.8542198129164306e-06,,,0.005624374090577622,-1.6437656854164626,0.14912465724530688,9.0,28284.466666666664,
