trade_date,vpin_raw,vpin_filtered,vpin_max,delta_vpin,ofi_daily,ofi_20,ofi_60,ofi_240,ofi_skew,ofi_95th,ofi_price_divergence,ofi_am_sum,ofi_pm_sum,ofi_pos_ratio,queue_pressure,kyle_lambda,rv_bipower,jump_ratio,vwap_dev,volume_surprise,bvc_quality,n_buckets_actual,bucket_size,vpin_orthogonalized
20260204,0.235500844926889,0.7873441266592197,0.7873441266592197,0.0027847117122676,18682.0,-1621.0,-336.0,458.0,0.2233919525005441,2000.0,0.3148007136971529,-1249.0,19931.0,0.503125,-139.0,1.2211680594709074e-07,,,0.0147665565131959,-0.3964289487641937,0.1982978723404255,33.0,67389.3,0.235500844926889
20260205,0.257336214976598,0.3877101939963398,0.3877101939963398,0.0246200817619766,-42023.0,-223.0,1142.0,-714.0,-0.0268978274663057,2000.0,0.2907126350096085,-61668.0,19645.0,0.5072697899838449,-56.0,6.9347583981807805e-09,,,-0.0061230102586184,-0.4626015031114377,0.2019258826962358,31.0,66787.0,0.257336214976598
20260206,0.1911502547075888,0.3649571687811546,0.3649571687811546,-0.0415658785070324,27837.0,-103.0,-541.0,-10855.0,0.0453574583223636,3738.199999999999,0.3023235202993508,29879.0,-2042.0,0.5115606936416185,-128.0,1.1176543644189742e-08,,,-0.0079304054155924,-0.2006321314748505,0.1945868945868946,40.0,66554.76666666666,0.1911502547075888
20260209,0.0723180933040211,0.2279377828682711,0.2279377828682711,-0.1603980399106001,52312.0,-2.0,571.0,1357.0,0.1100372261017104,2840.0,0.4090768037539841,45287.0,7025.0,0.4807073954983923,-141.0,1.5816652306984186e-08,0.0495271938281025,0.9998566287702908,0.0046381841955303,-0.0961278554976796,0.2872772741481713,45.0,66434.9,0.0723180933040211
20260210,,,,0.0,-54054.0,0.0,-167.0,2895.0,0.018467442406167,2837.0,0.384136517180467,-38571.0,-15483.0,0.4908722109533469,0.0,1.7673795548678043e-08,,,0.001715960520383,-0.612984930540291,0.1605473965287049,27.0,66102.86666666667,
20260211,,,,0.0,-8607.0,-2.0,-4.0,5899.0,-0.0644598942797599,2842.0,0.0,-23443.0,14836.0,0.5159474671669794,-13.0,-2.130245317135189e-06,,,-0.0045882190558425,-1.4341278559463555,0.1964225447181909,11.0,65717.5,
20260212,0.1402759831343886,0.3132861812110569,0.3804952802321636,-0.0924401500802327,55559.0,-318.0,-4604.0,-3442.0,-0.0153523543205515,3666.0,0.3584760060674394,11040.0,44519.0,0.5016891891891891,-90.0,-1.0645207303166548e-09,,,-0.0005467293177101,0.0849071465674582,0.1866416978776529,54.0,64810.73333333333,0.1402759831343886
20260213,0.2502510876282178,0.5486956539423805,0.5486956539423805,0.0175349544135964,-49377.0,-17.0,-121.0,1196.0,0.0330854147049544,2000.0,0.2569524117108515,-32778.0,-16599.0,0.5365126676602087,-100.0,3.008506437573886e-09,2.820754926563182e-05,0.9307680983329296,-0.0072505236215832,-0.2310997163998055,0.2631416202844774,39.0,64974.9,0.2502510876282178
20260224,,,,0.0,31759.0,858.0,1249.0,6902.0,-0.0044866584931536,2000.0,0.2255540745444716,49880.0,-18121.0,0.4790322580645161,-21.0,-1.3290674441348263e-09,,,-0.0026182557398984,-0.8218656092075967,0.2354670150228608,21.0,64657.2,
20260225,,,,0.0,14229.0,23.0,-2412.0,7033.0,-0.0223422255089366,2000.0,0.0,23515.0,-9286.0,0.5264227642276422,-25.0,4.141462102056091e-09,,,0.0022639123387849,-0.6918364698605892,0.1717069892473118,25.0,63740.4,
