trade_date,vpin_raw,vpin_filtered,vpin_max,delta_vpin,ofi_daily,ofi_20,ofi_60,ofi_240,ofi_skew,ofi_95th,ofi_price_divergence,ofi_am_sum,ofi_pm_sum,ofi_pos_ratio,queue_pressure,kyle_lambda,rv_bipower,jump_ratio,vwap_dev,volume_surprise,bvc_quality,n_buckets_actual,bucket_size,vpin_orthogonalized
20260204,0.2682420244014345,0.2682420244014345,0.2682420244014345,0.0807124624894956,39285.0,0.0,-2185.0,7352.0,2.362097800010984,797.3000000000002,0.0,26944.0,12341.0,0.5186130610508403,-6394.0,1.1725052137811288e-11,0.0010826353911977,0.2789024639765084,0.0027226230466865,-0.2335056262570896,0.9672062224090814,39.0,1316541.6666666667,0.2682420244014345
20260205,0.3050390038644506,0.3050390038644506,0.3093112912387927,0.1175094419525117,31334.0,0.0,2283.0,26565.0,4.303730313138605,991.0999999999996,0.0,19034.0,12300.0,0.4959728698601102,-6874.0,3.716142981992989e-09,0.0011985455154047,0.2092563065762446,0.0024496173236816,0.1432913106290214,0.9546313799621928,57.0,1314188.3333333333,0.3050390038644506
20260206,,,,0.0,-70059.0,0.0,-7664.0,-17479.0,-8.38443184274627,525.0,0.0,-22675.0,-47384.0,0.5155574762316335,-10832.0,8.014968195278551e-09,0.0008518923605832,0.3469740219389484,-0.0026031800698777,-0.5405540054837291,0.9487989886219976,29.0,1322795.8,
20260209,,,,0.0,-59066.0,0.0,-681.0,7624.0,1.5678079883550649,709.0500000000002,0.0,-17426.0,-41640.0,0.4730513205926562,-7484.0,2.213752867588821e-09,0.0009020995852194,0.3203345583831787,-2.897166320757208e-06,-0.6612421720253602,0.9489666807254324,25.0,1320614.433333333,
20260210,,,,0.0,-15131.0,0.0,411.0,24213.0,9.795600666940745,543.0,0.0,17520.0,-32651.0,0.4710851202079272,-4917.0,7.330951151658561e-09,0.0008857079360919,0.3320007366227647,0.0010556111741652,-0.5663147351332861,0.9504532995994096,28.0,1317819.5,
20260211,,,,0.0,-78971.0,0.0,-420.0,-5820.0,-8.225498510387364,515.9000000000005,0.0,-14599.0,-64372.0,0.4783554492060039,-3196.0,2.907734635192869e-09,0.0008931311648399,0.3180445033275821,-0.0022199760632273,-0.708223317628241,0.951446062909014,24.0,1314724.3,
20260212,,,,0.0,-95764.0,0.0,643.0,-19063.0,-3.120890421250345,618.0,0.0,-34184.0,-61580.0,0.4738773747841105,-23794.0,8.892736626509516e-10,0.000838040010054,0.3473089149655041,-0.0012320075346869,-0.5186528528776206,0.9284812789230122,29.0,1309301.5333333332,
20260213,0.2155010954400192,0.2155010954400192,0.2155010954400192,0.0279715335280802,-145106.0,0.0,-9754.0,-12631.0,-8.953632601264058,601.8000000000002,0.0,-55477.0,-89629.0,0.5109331024031175,-3412.0,1.00565895971118e-08,0.0010115682672487,0.2991488017437091,-0.0043911266433009,-0.4338247308089384,0.9601853802401517,32.0,1305179.4666666668,0.2155010954400192
20260224,0.311993165748813,0.311993165748813,0.311993165748813,0.1244636038368741,1962.0,0.0,1135.0,15218.0,2.081275972300436,689.1999999999998,0.0,21615.0,-19653.0,0.471931696905016,-3880.0,5.995596658817722e-09,0.001016644862963,0.303986401604735,0.0016548807392425,-0.329120516884834,0.9815087203193948,35.0,1305996.5,0.311993165748813
20260225,0.441507970726279,0.441507970726279,0.441507970726279,0.2539784088143401,-289134.0,0.0,-9699.0,-32090.0,-23.0562386782072,941.2999999999992,0.0,-13019.0,-276115.0,0.5942954448701575,-20915.0,1.1671846744429021e-08,0.0009470740039602,0.2960160445510713,-0.0058751311884988,0.2797831417500337,0.9302521008403362,66.0,1309198.5333333332,0.441507970726279
20260226,0.2652681992171968,0.2652681992171968,0.2652681992171968,0.0777386373052579,-31260.0,0.0,1587.0,11864.0,-11.639745576775974,876.5999999999995,0.0,-11492.0,-19768.0,0.5336035843823341,-4022.0,8.603660109503306e-09,0.0010576962424547,0.2873846567573407,6.395187711971961e-05,-0.4283346897044087,0.96133641521328,32.0,1308991.3666666667,0.2652681992171968
20260227,0.2819752900119423,0.2819752900119423,0.2819752900119423,0.0944457281000034,22834.0,0.0,499.0,5463.0,-2.9619437166194067,823.75,0.0,8875.0,13959.0,0.5871559633027523,-221.0,5.7999443177169e-09,0.0009582000790588,0.328993140404745,0.0007024470305176,-0.3803053755379844,0.9522908785203869,34.0,1308497.9,0.2819752900119423
20260302,0.2688402667516733,0.2688402667516733,0.2812712383224506,0.0813107048397344,-154260.0,0.0,8759.0,1690.0,-8.923021635432134,927.3999999999978,0.0,-128414.0,-25846.0,0.5127334465195246,-2479.0,1.1496344846124079e-09,0.001220139467837,0.2416765252570002,-0.0021359870124364,0.1813523281342543,0.9691241335853812,59.0,1309785.5333333332,0.2688402667516733
20260303,0.1956564640495986,0.1956564640495986,0.3161941532059848,0.0081269021376597,-240022.0,0.0,-138.0,-639.0,-0.2195318623969638,855.3999999999978,0.0,-102116.0,-137906.0,0.4541790411540093,0.0,4.301558404822833e-09,0.0012504538566491,0.2068566566441575,-0.0102878621531749,0.5078230944115508,0.9603024574669188,83.0,1320579.933333333,0.1956564640495986
20260304,0.1875295619119389,0.1875295619119389,0.1875295619119389,0.0,-64900.0,0.0,1703.0,8143.0,0.1667643997118305,941.0499999999976,0.0,-85365.0,20465.0,0.5168228279386712,0.0,2.567674898860597e-09,0.0012682260991126,0.2495222221260798,-0.0002669206257148,-0.0987508266398888,0.9737394957983192,45.0,1339472.7333333334,0.1875295619119389
20260305,0.2244054499845041,0.2244054499845041,0.2244054499845041,0.0368758880725652,-63517.0,0.0,3544.0,12240.0,-1.448367254296444,1021.5,0.0,-12195.0,-51322.0,0.4992551606724835,-2113.0,4.7945443674729915e-09,0.0010726691679253,0.3090781331197559,-0.001066074004074,-0.4056077488714539,0.9688944934846574,33.0,1338889.9666666668,0.2244054499845041
20260306,,,,0.0,36114.0,0.0,4786.0,18674.0,11.205497476861412,709.2000000000007,0.0,668.0,35446.0,0.5134091396695988,-5385.0,-7.398871158968157e-10,0.0010833783639358,0.2955888233818402,0.00334908535591,-0.5162106597425962,0.9570707070707072,29.0,1341585.066666667,
20260309,0.225822462950366,0.225822462950366,0.225822462950366,0.0,-74164.0,0.0,1209.0,-9274.0,-8.130259667034142,772.1999999999989,0.0,-83778.0,9614.0,0.505529561888558,-2547.0,3.760836568902588e-09,0.0011367817205159,0.2702223362958265,0.0013626053180983,-0.1427888071876069,0.95610165931527,43.0,1344422.7333333334,0.225822462950366
20260310,,,,0.0,21209.0,0.0,1981.0,23118.0,0.7932647881474643,1029.0,0.0,135.0,21074.0,0.512090734003852,-7769.0,-4.6713091307265166e-09,0.001072661492485,0.3009336405595194,4.547715214268486e-05,-0.631563217025932,0.9612876078266358,26.0,1351463.3333333335,
20260311,0.3004523421719836,0.3004523421719836,0.3004523421719836,0.0,43099.0,0.0,2417.0,-20985.0,1.9237057287017565,704.6000000000004,0.0,35046.0,8053.0,0.4959505541346973,0.0,3.198576225590589e-09,0.0011105436117143,0.2783037651770083,0.0013180724415349,-0.1279163259892219,0.9556443136430524,43.0,1354175.9666666666,0.3004523421719836
20260312,,,,0.0,-28707.0,0.0,-243.0,-1856.0,-10.064273747638929,614.2000000000007,0.0,-57910.0,29203.0,0.5152229845626072,0.0,6.282620569817741e-09,0.0009673311393225,0.323125329420316,0.0001661897136706,-0.6023557894757859,0.9459743535841916,27.0,1363912.9666666666,
20260313,0.2782731937023644,0.2782731937023644,0.2782731937023644,0.0,-64003.0,0.0,-4839.0,-21753.0,-5.402100984501375,695.1499999999987,0.0,10974.0,-74977.0,0.5199656504937742,-268.0,4.905560436821881e-09,0.0008932442282137,0.3482564131622301,-0.0019769599181216,-0.3710130156784286,0.9398401346234748,34.0,1366038.0333333334,0.2782731937023644
20260316,0.3085144042654237,0.3085144042654237,0.3085144042654237,0.0302412105630593,39325.0,0.0,4611.0,20847.0,-7.840297498374926,720.0,0.0,-19306.0,58631.0,0.5422049956933678,0.0,1.728506587634074e-08,0.0010038277910965,0.3005196766922982,0.0057012513820979,-0.3971116373327771,0.9470254361992853,33.0,1369079.5333333334,0.3085144042654237
20260317,0.2361813850521655,0.2361813850521655,0.2361813850521655,-0.0723330192132581,-85304.0,0.0,2438.0,23233.0,-8.21646173974024,784.3999999999978,0.0,-14042.0,-71262.0,0.476699444206926,-5676.0,1.658057823324369e-08,0.0010729866789521,0.3045475327230414,-0.0039971738811456,-0.2792938650666715,0.962363330529857,37.0,1371775.5333333334,0.2361813850521655
20260318,0.2229749395978949,0.2229749395978949,0.2229749395978949,-0.0132064454542705,-18590.0,0.0,715.0,-240.0,-9.126166553096166,638.8000000000011,0.0,-54067.0,35477.0,0.5800856531049251,-1700.0,9.59325371933823e-09,0.0011161206491209,0.2770614869328158,0.0009381724227057,-0.440043312180557,0.962371242379651,32.0,1366295.573770492,0.2229749395978949
20260319,0.2704579268027618,0.2704579268027618,0.2704579268027618,0.0474829872048669,-204511.0,0.0,5590.0,-297.0,-3.710018667781459,648.3000000000002,0.0,-110155.0,-94356.0,0.4657417289220917,-8177.0,1.2098654852521329e-08,0.0012005837177985,0.2497955660561521,-0.0054873154991186,-0.3603487718778762,0.9630018919487072,34.0,1372630.7,0.2704579268027618
20260320,0.2784106965919812,0.2784106965919812,0.2784106965919812,0.0079527697892194,-295100.0,0.0,-6174.0,-22358.0,-6.093044581913359,743.0,0.0,-149077.0,-146023.0,0.4695393759286775,0.0,2.216743447737977e-09,0.0013397616427183,0.2396801621742135,-0.0086020171867999,-0.0591155958728502,0.9634453781512604,47.0,1378430.9666666666,0.2784106965919812
20260323,0.2454365755934028,0.2454365755934028,0.2629372078111046,2.775557561562892e-17,-161872.0,0.0,2924.0,-14030.0,-1.414755393972766,760.7999999999956,0.0,-69389.0,-92483.0,0.4794055201698514,-1007.0,1.3392017030265312e-08,0.0015401990780226,0.2306189075169096,-0.0089458888696998,0.2046836931477222,0.9762654904431842,61.0,1318954.7666666666,0.0404816294009315
20260324,0.2482084009892783,0.2482084009892783,0.2482084009892783,0.0027718253958755,-14331.0,0.0,5860.0,12163.0,-1.198277248383991,725.5500000000002,0.0,-48911.0,34580.0,0.4945243719132489,0.0,2.3516000548044968e-08,0.0011996223005287,0.3053902609040236,0.0070714135185003,-0.1845733046029302,0.9612794612794612,41.0,1301550.6666666667,0.0016181822143314
20260325,0.2575566874891022,0.2575566874891022,0.2575566874891022,0.0093482864998239,-12123.0,0.0,5930.0,29603.0,-10.07620776465499,788.0999999999995,0.0,-75264.0,63141.0,0.5753917831427361,-5240.0,9.305341591677523e-09,0.0013543484094152,0.2585786565832857,0.0017079306665148,-0.1157198090317484,0.9655534551564796,44.0,1298645.8333333333,0.0402797343352338
20260326,0.2480608511204245,0.2480608511204245,0.2480608511204245,-0.0094958363686777,-197058.0,0.0,118.0,5149.0,-12.277268855653716,825.3999999999978,0.0,-110243.0,-86815.0,0.5189281156954487,0.0,6.888448526660091e-09,0.0012367509257082,0.2969287785998121,-0.0046638334619939,-0.2226312552343963,0.9508506616257087,40.0,1297745.0,0.0093759377919156
20260327,0.27767355200436006,0.27767355200436006,0.27767355200436006,0.029612700883935555,35287.0,0.0,3379.0,6740.0,3.0922641361192995,670.25,0.0,11041.0,24246.0,0.5051546391752577,-1094.0,9.946132375559173e-09,0.0011241046066943084,0.33750109414643326,0.0036681414477683885,-0.43424710263623295,0.9551390058972199,32.0,1245624.5333333332,0.034044885240257894
